Signal Photons,Reflectivity,Channel,Ambiant Photons,Range,Raw Timestamp,Point:0,Point:1,Point:2,Point ID,Angle,Range(m)
818,120,3,127,5193,610640000000.0,5.12079,-0.276117,0.816623,291,-1.5432221549889198,5.128228819172269
817,121,4,160,5167,610640000000.0,5.12118,-0.279178,0.62652,292,-1.560177914684185,5.128783963873308
448,104,5,94,4390,610640000000.0,4.36746,-0.239496,0.373713,293,-1.5693767635003637,4.374021626102917
134,32,6,96,4071,610640000000.0,4.05996,-0.223501,0.199264,294,-1.5754775414730355,4.066107216810816
572,116,7,99,4098,610640000000.0,4.0914,-0.226658,0.0516993,295,-1.5854335832197521,4.097673462949921
58,11,8,83,1830,610640000000.0,1.82666,-0.101699,-0.0432084,296,-1.593321719846597,1.829488847246957
0,0,0,0,0,0.0,0.0,0.0,0.0,297,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,298,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,299,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,300,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,301,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,302,,0.0
