Angle,Range
-16.68578003,8.997079434
-16.69200124,6.767843886
-16.70201253,6.540476636
-16.71009271,2.094413086
,0
,0
,0
,0
,0
,0
,0
-16.80552336,10.6763387
-16.81999373,10.74417526
-16.8289907,10.66790987
-16.8354857,10.74315387
-16.85257664,9.048505662
-16.86157848,9.07180427
-16.86778759,6.79880436
-16.87781981,6.521473029
-16.88584942,2.10241295
,0
,0
,0
,0
,0
,0
,0
-16.98143279,9.057031129
-16.99578412,10.82592576
-17.00478466,10.61885752
-17.011268,10.81030423
-17.02835398,9.134856731
-17.03736403,9.085755758
-17.04359813,6.831765742
-17.05360325,6.515478715
-17.06160038,2.107405091
,0
,0
,0
,0
,0
,0
,0
-17.1572237,9.046424313
-17.17156783,10.90377332
-17.18057226,10.59530911
-17.18703916,10.91399099
-17.20415169,9.125929083
-17.21314834,9.003058713
-17.21912944,8.983164855
-17.22939011,6.528479755
-17.23734095,2.122404295
,0
,0
,0
,0
,0
,0
,0
-17.33299588,8.948112945
-17.347332,10.95535425
-17.35636234,10.57961544
-17.36280185,10.98410343
-17.37990714,9.248014806
-17.38890928,9.185396525
-17.39491074,9.177929561
-17.40516393,6.557474113
-17.41311248,2.132398344
,0
,0
,0
,0
,0
,0
,0
-17.50878039,9.069555285
-17.52310422,11.06240324
-17.53212243,10.53546932
-17.5385897,11.04631668
-17.55569187,9.290697529
-17.56465944,9.591903716
-17.57065469,9.56446847
-17.58093918,6.572470161
